country,category,total_volume,market_share,idade_na_aposentadoria,growth_trend,share_norm,growth_norm,age_norm,alignment_score
India,renewable-energy,164429103,0.14904320768032875,7.0,3038791.3000000003,0.9999999999999999,1.0,0.5882352941176471,91.76470588235294
United States,forest,141821828,0.12855133172019959,4.0,20248.999999999854,0.8625104574738439,0.08987115261688071,0.7647058823529411,53.389382050687814
United States,ghg-management,110561654,0.10021622242020412,4.0,310317.3000000001,0.6723970084824001,0.17733042974590454,0.7647058823529411,49.283215176191014
Indonesia,forest,54744382,0.04962186223053988,6.0,1511121.3333333337,0.3329358751818133,0.5393880993669886,0.6470588235294118,47.834135452540316
China,renewable-energy,62401915,0.05656286756606112,5.0,1212942.4833333339,0.3795063136379715,0.44948338838628654,0.7058823529411764,47.27723513979385
Peru,forest,48443165,0.043910260228004976,6.0,1141935.2000000002,0.29461407643835397,0.4280737904701091,0.6470588235294118,41.848691146926754
Türkiye,renewable-energy,46350133,0.042013076594657695,5.0,1019688.8333333335,0.2818849875865306,0.391214958049206,0.7058823529411764,41.04164488425299
Brazil,forest,45619120,0.041350465655424995,6.0,1127347.2666666668,0.277439222099506,0.4236753432625386,0.6470588235294118,40.985759085070015
China,agriculture,2390018,0.002166380176225397,4.0,745474.4999999998,0.014534937624860463,0.3085358532599183,0.7647058823529411,28.216949282449978
China,forest,12608446,0.011428653452571656,5.0,607808.1904761906,0.07667984412316532,0.2670277121911673,0.7058823529411764,27.865949311396832
China,ghg-management,17299754,0.01568098822652215,7.0,694215.2666666668,0.10521073918987711,0.2930805432742313,0.5882352941176471,27.696357180917282
Pakistan,land-use,2129261,0.0019300226276161374,3.0,588180.9999999998,0.012949104717511263,0.26110986494235966,0.8235294117647058,27.432947021688957
Cambodia,forest,17836808,0.016167789220975982,6.0,524863.6666666667,0.10847691385143372,0.2420188846350639,0.6470588235294118,26.961008410048144
India,fuel-switching,17926734,0.016249300700691718,5.0,413737.1833333334,0.10902381234323369,0.20851283829279266,0.7058823529411764,26.819113084264583
DR Congo,forest,13155465,0.011924487005966919,7.0,641158.0500000002,0.08000662243072851,0.27708311847412503,0.5882352941176471,26.048295518547082
Uganda,fuel-switching,10092735,0.00914834157227947,2.0,200125.45000000004,0.06138016937165197,0.14410618722609173,0.8823529411764706,25.86651308743916
Indonesia,renewable-energy,9890242,0.008964796167590296,3.0,259618.59999999998,0.06014867774186692,0.1620441276805591,0.8235294117647058,25.358300452191155
Kenya,forest,15286058,0.013855716996203226,5.0,304322.55,0.0929641441523615,0.17552293647080613,0.7058823529411764,24.857130283750234
South Africa,renewable-energy,1789069,0.001621662939567566,4.0,381103.49999999994,0.010880175912466952,0.19867336822870493,0.7647058823529411,23.6762594127057
Zambia,fuel-switching,1307103,0.0011847952724560005,1.0,80616.02319587629,0.007949027206877209,0.10807257694053952,0.9411764705882353,23.464393577661376
Mexico,forest,4078793,0.0036971337864932048,3.0,216148.130952381,0.02480547674023856,0.14893722906611429,0.8235294117647058,23.420296467548233
Dominican Republic,ghg-management,3000,2.7192851805619e-06,0.0,0.0,1.792870531132604e-05,0.08376582189792386,1.0,23.35135002412941
Kenya,fuel-switching,9809444,0.008891558566250617,4.0,143724.7666666667,0.059657292554707995,0.12710066475460374,0.7647058823529411,22.764435939431294
Türkiye,ghg-management,10256943,0.009297184365922705,5.0,226139.81666666677,0.06237882501675449,0.15194984923133686,0.7058823529411764,22.690794028747185
South Africa,fuel-switching,4441178,0.0040256098398791795,4.0,239128.9833333334,0.027009375612099106,0.1558662479800973,0.7647058823529411,22.609142590746682
Tanzania,fuel-switching,285397,0.0002586919442256082,2.0,121626.49999999999,0.0017353685268182934,0.12043775664478593,0.8823529411764706,22.533983830393584
Nigeria,fuel-switching,2350167,0.0021302580983152066,3.0,174259.50000000006,0.014292577775687584,0.13630727473115356,0.8235294117647058,22.494582335567763
DR Congo,fuel-switching,202964,0.00018397233246252183,2.0,100569.99999999997,0.0012340398412930087,0.11408895441831964,0.8823529411764706,22.25997859391392
France,ghg-management,41217,3.736025909573995e-05,1.0,3146.4999999999986,0.0002503511377682281,0.0847145316172778,0.9411764705882353,22.222124721966548
