País,Volume Total Aposentado,Nº de Transações,Tamanho Médio da Transação,Idade Mediana dos Créditos (anos),Vintage Mais Comum
United States,258858612,14444,17921.532262531156,4.0,2019
India,190396615,79436,2396.8555189083036,6.0,2009
China,110800675,26624,4161.684006911058,5.0,2017
Indonesia,65454510,12753,5132.479416607857,6.0,2012
Brazil,64481940,45670,1411.910225530983,7.0,2012
Türkiye,56888540,17895,3179.0187203129367,5.0,2016
Peru,50337436,11584,4345.427831491713,6.0,2012
Kenya,30159128,11300,2668.9493805309735,4.0,2015
Colombia,28392137,4947,5739.263594097432,5.0,2012
Zimbabwe,20114374,4305,4672.328455284553,6.0,2012
