project_id,name,country,category,registry,status,volume_disponivel,total_emitido,total_aposentado
ART102,Guyana,Guyana,forest,art-trees,registered,40613553.0,40614961.0,1408.0
VCS934,The Mai Ndombe REDD+ Project,DR Congo,forest,verra,unknown,25448994.0,37381090.0,11932096.0
VCS1748,Southern Cardamom REDD+ Project,Cambodia,forest,verra,registered,21304175.0,27627237.0,6323062.0
VCS1742,Hydroelectric Project in Kinnaur District in Himachal Pradesh,India,renewable-energy,verra,registered,17856288.0,29486267.0,11629979.0
VCS985,Cordillera Azul National Park REDD Project,Peru,forest,verra,registered,15127008.0,30839971.0,15712963.0
VCS896,Foz do Chapecó Project,Brazil,renewable-energy,verra,registered,12259125.0,13591860.0,1332735.0
CAR1480,Phlogiston Phase I,United States,ghg-management,climate-action-reserve,registered,10476266.0,14515089.0,4038823.0
VCS1477,Katingan Peatland Restoration and Conservation Project,Indonesia,forest,verra,registered,10202169.0,39998290.0,29796121.0
VCS2930,Reducing Gas Leakages within the Titas Gas Distribution Network in Bangladesh,Bangladesh,ghg-management,verra,unknown,8204846.0,8273584.0,68738.0
GLD11440,GS10884 - KOKO Kenya - Ethanol Cookstoves Program - CPA-0002,Kenya,fuel-switching,gold-standard,unknown,7897861.0,8001971.0,104110.0
VCS1650,Reduced Emissions from Deforestation and Degradation in Keo Seima Wildlife Sanctuary,Cambodia,forest,verra,registered,7379320.0,18874424.0,11495104.0
VCS1566,REDD+ Project Resguardo Indigena Unificado Selva de Mataven (RIU SM),Colombia,forest,verra,registered,7284626.0,27094417.0,19809791.0
ACR255,Finite Carbon - Colville IFM,United States,forest,american-carbon-registry,active,6667833.0,14773048.0,8105215.0
VCS868,"REDD project in Brazil nut concessions in Madre de Dios, Peru",Peru,forest,verra,registered,6375432.0,14122644.0,7747212.0
VCS2923,Grouped Projects for Viet Nam Cookstove Program.,Vietnam,fuel-switching,verra,registered,6000303.0,6072505.0,72202.0
VCS2252,Rio Anapu-Pacaja REDD Project,Brazil,forest,verra,unknown,5320433.0,6307759.0,987326.0
VCS1468,Northern Kenya Grassland Carbon Project,Kenya,land-use,verra,unknown,5178548.0,6763174.0,1584626.0
VCS883,"Madushan Hydropower Project on Honghe River in Yunnan Province, China",China,renewable-energy,verra,registered,4914902.0,6458608.0,1543706.0
ACR324,Finite Carbon - Sealaska Native Alaskan IFM,United States,forest,american-carbon-registry,active,4823574.0,12905419.0,8081845.0
VCS612,The Kasigau Corridor REDD Project - Phase II The Community Ranches,Kenya,forest,verra,registered,4745853.0,11758495.0,7012642.0
VCS1753,Bundled Solar Photovoltaic Project by ACME,India,renewable-energy,verra,registered,4718250.0,8526931.0,3808681.0
VCS1522,Soubre Hydropower Project,Cote d'Ivoire,renewable-energy,verra,registered,4664820.0,4967399.0,302579.0
ACR360,Finite Carbon - Ahtna Native Alaskan IFM,United States,forest,american-carbon-registry,active,4360805.0,15769238.0,11408433.0
ACR437,Bluesource - Cumberland Mountains Improved Forest Management Project,United States,forest,american-carbon-registry,active,4353722.0,8015223.0,3661501.0
VCS1100,SANIBEY DAM AND HYDROELECTRIC POWER PLANT,Türkiye,renewable-energy,verra,registered,4121236.0,5485316.0,1364080.0
VCS960,Lumin/Eucapine Uruguay Forest Plantations on degraded grasslands under extensive grazing,Uruguay,forest,verra,registered,4066308.0,5812947.0,1746639.0
VCS902,KARIBA REDD+ PROJECT,Zimbabwe,forest,verra,completed,4038370.0,23513266.0,19474896.0
VCS1311,"Carbon Emissions Reduction Project in the Corridor Ankeniheny-Zahamena (CAZ) Protected Area, Madagascar",Madagascar,forest,verra,unknown,3885206.0,3915496.0,30290.0
VCS92,300MW Hydropower project by JHPL,India,renewable-energy,verra,registered,3861058.0,11997232.0,8136174.0
VCS4150,DelAgua Clean Cooking Grouped Project in Rwanda,Rwanda,fuel-switching,verra,unknown,3698366.0,3861959.0,163593.0
VCS1805,Solar Energy Project(s) by SB Energy Private Limited,India,renewable-energy,verra,registered,3592115.0,9446114.0,5853999.0
VCS2478,Reducing Gas Leakages within the Titas Gas Distribution Network in Bangladesh - CER Conversion,Bangladesh,ghg-management,verra,unknown,3520618.0,7657147.0,4136529.0
VCS1775,Luangwa Community Forests Project,Zambia,forest,verra,unknown,3484237.0,9383511.0,5899274.0
VCS929,Energy Efficiency and Solid Waste Diversion Activities within the Quebec Sustainable Community,Canada,energy-efficiency,verra,unknown,3476754.0,4294659.0,817905.0
GLD707,LANDFILL GAS EXTRACTION AND ELECTRICITY GENERATION PROJECT - ISTANBUL TURKEY,Türkiye,ghg-management,gold-standard,unknown,3410641.0,9933803.0,6523162.0
VCS2609,KUAMUT RAINFOREST CONSERVATION PROJECT,Malaysia,forest,verra,unknown,3393759.0,4258969.0,865210.0
VCS1382,"The Envira Amazonia Project - A Tropical Forest Conservation Project in Acre, Brazil",Brazil,forest,verra,unknown,3095350.0,11990260.0,8894910.0
VCS1146,The Hyundai Waste Energy Recovery CO-Generation Project Phase II,South Korea,ghg-management,verra,registered,3045092.0,8383216.0,5338124.0
VCS1792,Ghani Solar Renewable Power Project by Greenko Group,India,renewable-energy,verra,registered,3040698.0,6052086.0,3011388.0
VCS832,Cikel Brazilian Amazon REDD APD Project   Avoiding Planned Deforestation,Brazil,forest,verra,registered,2969692.0,4416877.0,1447185.0
VCS959,‘Guanaré’ Forest Plantations on degraded grasslands under extensive grazing,Uruguay,forest,verra,registered,2937956.0,8335912.0,5397956.0
VCS2502,TAHUAMANU AMAZON REDD PROJECT,Peru,forest,verra,unknown,2856387.0,3670112.0,813725.0
VCS1904,Wind Power Project in Tamil Nadu by Green Infra Renewable Energy Limited,India,renewable-energy,verra,registered,2850747.0,3452180.0,601433.0
ACR114,GreenTrees ACRE (Advanced Carbon Restored Ecosystem),United States,forest,american-carbon-registry,registered,2821769.0,6702622.0,3880853.0
VCS1728,Bundled Wind Power Project by Mytrah Group,India,renewable-energy,verra,registered,2808797.0,6000640.0,3191843.0
VCS2736,Reducing Gas Leakages within the Bakhrabad Gas Distribution Network in Bangladesh,Bangladesh,ghg-management,verra,registered,2790185.0,2795255.0,5070.0
VCS2738,Reducing Gas Leakages within the Karnaphuli Gas Distribution Network in Bangladesh,Bangladesh,ghg-management,verra,registered,2743135.0,2747860.0,4725.0
VCS1815,Renewable Solar Power Project by Adani Green Energy Limited,India,renewable-energy,verra,registered,2737346.0,5343328.0,2605982.0
VCS981,Pacajai REDD+ Project,Brazil,forest,verra,unknown,2707699.0,9582744.0,6875045.0
VCS2250,Delta Blue Carbon – 1,Pakistan,land-use,verra,registered,2673397.0,4802658.0,2129261.0
ACR701,Finite Carbon - Windrock Land Company IFM,United States,forest,american-carbon-registry,registered,2647324.0,2707858.0,60534.0
CAR1264,Chugach Alaska Forest Carbon Project,United States,forest,climate-action-reserve,registered,2514664.0,7563693.0,5049029.0
VCS453,Gansu Huanghe Bingling Hydropower Station Project,China,renewable-energy,verra,registered,2460802.0,2490647.0,29845.0
VCS2605,İZMIR LANDFILL GAS (LFG) CAPTURE AND UTILIZATION PROJECT,Türkiye,ghg-management,verra,registered,2445711.0,2445711.0,0.0
ACR303,White Mountain Apache Tribe Carbon Project II,United States,forest,american-carbon-registry,active,2433766.0,6522969.0,4089203.0
VCS1784,Solar Power Project by Mytrah Energy India Private Limited,India,renewable-energy,verra,registered,2372844.0,3141114.0,768270.0
VCS1851,Renewable Solar Power Project by ReNew Solar Power Private Limited,India,renewable-energy,verra,unknown,2337699.0,10955876.0,8618177.0
GLD10790,GS10789 VPA1: Efficient and Clean Cooking for households in Somalia,Somalia,fuel-switching,gold-standard,unknown,2273230.0,2667927.0,394697.0
GLD7312,Promoting Improved Cooking practices in Nigeria,Nigeria,fuel-switching,gold-standard,unknown,2251076.0,4358255.0,2107179.0
VCS884,Nansha Hydro Power Project in Yunnan Province China,China,renewable-energy,verra,registered,2240452.0,2745232.0,504780.0
GLD7152,252 MW Wind Energy Project by Green Infra Wind Energy Limited,India,renewable-energy,gold-standard,unknown,2229139.0,2713113.0,483974.0
VCS1931,Energising India using Solar Energy Projects,India,renewable-energy,verra,registered,2209154.0,3470882.0,1261728.0
VCS2551,BRAZILIAN AMAZON APD GROUPED PROJECT,Brazil,forest,verra,unknown,2181748.0,3002762.0,821014.0
VCS2737,Reducing Gas Leakages within the Jalalabad Gas Distribution Network in Bangladesh,Bangladesh,ghg-management,verra,registered,2172757.0,2181179.0,8422.0
GLD7745,300 MW Wind Power Project in Gujarat by Alfanar Power ,India,renewable-energy,gold-standard,unknown,2168019.0,2369322.0,201303.0
VCS1867,Ningxia Xiangshan Wind Farm Project,China,renewable-energy,verra,registered,2100360.0,4041916.0,1941556.0
ACR260,Warm Springs Phase I,United States,forest,american-carbon-registry,active,2073711.0,2703449.0,629738.0
ACR662,Whirlpool HFO Supsa 662,Mexico,ghg-management,american-carbon-registry,completed,2069372.0,2074459.0,5087.0
ACR975,Foam Blowing Agent Project 004-2023,United States,ghg-management,american-carbon-registry,completed,2047598.0,2047598.0,0.0
VCS2748,Zhangye Improved Grassland Management Project,China,land-use,verra,registered,2040378.0,2458517.0,418139.0
VCS2372,Installation of high efficiency wood burning cookstoves in Malawi - Project 2,Malawi,fuel-switching,verra,registered,1987466.0,4444642.0,2457176.0
VCS1950,Longyuan Mulilo De Aar 2 North Wind Energy Facility,South Africa,renewable-energy,verra,registered,1959794.0,2794486.0,834692.0
VCS2749,DelAgua Clean Cooking Grouped Project,Rwanda,energy-efficiency,verra,registered,1912383.0,2408517.0,496134.0
