project_id,name,country,category,registry,status,volume_disponivel,total_emitido,total_aposentado,vintage,idade_estimada,fator_status,fator_volume,fator_volume_norm,idade_norm,fator_idade_norm,opportunity_score
ART102,Guyana,Guyana,forest,art-trees,registered,40613553.0,40614961.0,1408.0,2016.0,9.0,1.0,40613553.0,1.0,0.34782608695652173,0.6521739130434783,0.8608695652173912
VCS1748,Southern Cardamom REDD+ Project,Cambodia,forest,verra,registered,21304175.0,27627237.0,6323062.0,2021.0,4.0,1.0,21304175.0,0.5245582441190626,0.13043478260869565,0.8695652173913043,0.8051935601922404
VCS1748,Southern Cardamom REDD+ Project,Cambodia,forest,verra,registered,21304175.0,27627237.0,6323062.0,2020.0,5.0,1.0,21304175.0,0.5245582441190626,0.17391304347826086,0.8260869565217391,0.7878022558444144
VCS1742,Hydroelectric Project in Kinnaur District in Himachal Pradesh,India,renewable-energy,verra,registered,17856288.0,29486267.0,11629979.0,2021.0,4.0,1.0,17856288.0,0.43966325426703023,0.13043478260869565,0.8695652173913043,0.7797250632366308
CAR1480,Phlogiston Phase I,United States,ghg-management,climate-action-reserve,registered,10476266.0,14515089.0,4038823.0,2024.0,1.0,1.0,10476266.0,0.25794996354788086,0.0,1.0,0.7773849890643643
VCS1748,Southern Cardamom REDD+ Project,Cambodia,forest,verra,registered,21304175.0,27627237.0,6323062.0,2019.0,6.0,1.0,21304175.0,0.5245582441190626,0.21739130434782608,0.782608695652174,0.7704109514965884
VCS1742,Hydroelectric Project in Kinnaur District in Himachal Pradesh,India,renewable-energy,verra,registered,17856288.0,29486267.0,11629979.0,2020.0,5.0,1.0,17856288.0,0.43966325426703023,0.17391304347826086,0.8260869565217391,0.7623337588888048
CAR1480,Phlogiston Phase I,United States,ghg-management,climate-action-reserve,registered,10476266.0,14515089.0,4038823.0,2023.0,2.0,1.0,10476266.0,0.25794996354788086,0.043478260869565216,0.9565217391304348,0.7599936847165382
VCS1748,Southern Cardamom REDD+ Project,Cambodia,forest,verra,registered,21304175.0,27627237.0,6323062.0,2018.0,7.0,1.0,21304175.0,0.5245582441190626,0.26086956521739135,0.7391304347826086,0.7530196471487622
VCS1742,Hydroelectric Project in Kinnaur District in Himachal Pradesh,India,renewable-energy,verra,registered,17856288.0,29486267.0,11629979.0,2019.0,6.0,1.0,17856288.0,0.43966325426703023,0.21739130434782608,0.782608695652174,0.7449424545409786
CAR1480,Phlogiston Phase I,United States,ghg-management,climate-action-reserve,registered,10476266.0,14515089.0,4038823.0,2022.0,3.0,1.0,10476266.0,0.25794996354788086,0.08695652173913043,0.9130434782608696,0.7426023803687121
VCS1748,Southern Cardamom REDD+ Project,Cambodia,forest,verra,registered,21304175.0,27627237.0,6323062.0,2017.0,8.0,1.0,21304175.0,0.5245582441190626,0.30434782608695654,0.6956521739130435,0.7356283428009363
VCS1742,Hydroelectric Project in Kinnaur District in Himachal Pradesh,India,renewable-energy,verra,registered,17856288.0,29486267.0,11629979.0,2018.0,7.0,1.0,17856288.0,0.43966325426703023,0.26086956521739135,0.7391304347826086,0.7275511501931526
CAR1480,Phlogiston Phase I,United States,ghg-management,climate-action-reserve,registered,10476266.0,14515089.0,4038823.0,2021.0,4.0,1.0,10476266.0,0.25794996354788086,0.13043478260869565,0.8695652173913043,0.725211076020886
VCS1904,Wind Power Project in Tamil Nadu by Green Infra Renewable Energy Limited,India,renewable-energy,verra,registered,2850747.0,3452180.0,601433.0,2024.0,1.0,1.0,2850747.0,0.07019196622329331,0.0,1.0,0.721057589866988
VCS1748,Southern Cardamom REDD+ Project,Cambodia,forest,verra,registered,21304175.0,27627237.0,6323062.0,2016.0,9.0,1.0,21304175.0,0.5245582441190626,0.34782608695652173,0.6521739130434783,0.71823703845311
VCS1742,Hydroelectric Project in Kinnaur District in Himachal Pradesh,India,renewable-energy,verra,registered,17856288.0,29486267.0,11629979.0,2017.0,8.0,1.0,17856288.0,0.43966325426703023,0.30434782608695654,0.6956521739130435,0.7101598458453264
